Name	CTLA4	PDCD1	LAG3	BTLA	CD160	IDO1	IL10	IL10RB	TGFB1	TGFBR1	VTCN1	CD244	LGALS9	HAVCR2	ADORA2A	TIGIT	CSF1R	KIR2DL1	KIR2DL3	KDR	CD96	PVRL2	C10orf54	MICA	MICB	CD27	CD274	CD28	CD40	CD40LG	CD70	CD80	CD86	ICOS	ICOSLG	IL6	IL6R	PDCD1LG2	TMEM173	TNFRSF13B	TNFRSF13C	TNFRSF14	TNFRSF17	TNFRSF18	TNFRSF4	TNFRSF9	TNFSF13	TNFSF13B	TNFSF18	TNFSF4	TNFSF9	TNFSF15	TNFRSF25	HHLA2	TMIGD2	BTNL2	CD276	CD48	TNFSF14	TNFRSF8	PVR	LTA	IL2RA	ENTPD1	NT5E	CXCR4	CXCL12	KLRK1	RAET1E	ULBP1	GZMA_O	PRF1_O
KIR2DL3	0.335947134548998	0.422180409760657	0.403659199367423	0.370739989809629	0.358412868878064	0.393101689595403	0.140591480064645	0.115677978720304	0.256425819325974	0.110334804177776	-0.0796979695231834	0.503686218876369	0.13647100675142	0.329108190407943	0.332757945683422	0.454580920498145	0.261003306514725	0.511945272520703	NA	0.146475590094678	0.504042776035225	-0.14258089993475	0.310512013659661	0.113985352234674	0.183407248139234	0.422880848240102	0.246883073411716	0.350437750223466	0.333088564678962	0.379141053950467	0.326748006291421	0.221193944244095	0.27896165909566	0.364705986412245	0.109508827543567	0.055704083942084	0.222294326247344	0.247281868329178	0.232681914685715	0.252388068809759	0.119043999697159	0.32064646803987	0.200042978093165	0.0653871847925864	0.313977015761189	0.339617714587385	0.142663588934349	0.291904799858908	0.0517926120460056	0.104523959096995	0.190714118588825	-0.0201611502086379	0.0646936064483344	0.200419293149966	0.32672104081944	0.0859767795558618	-0.133904294891284	0.427847534497326	0.347418518394821	0.254912075864048	-0.0128724503863813	0.369360869225344	0.27198978552034	0.285619058081824	-0.0112618534617576	0.332839904693469	0.116804258081097	0.545564690128366	0.0839346385504623	-0.0925450277950608	0.567913404578853	0.587968139251848
KDR	-0.0501551067067913	-0.0083312680078794	-0.0694489470868429	0.0832399790977586	0.195421286851204	0.0973387132908492	0.107253666069706	-0.063497604516866	0.109008496437944	0.369465298408455	0.0499510699865649	0.0702456618798888	-0.256361042569055	0.373825773313407	0.475592090947825	0.108389742778658	0.293303440305846	0.18118596606473	0.146475590094678	NA	0.133115618526964	-0.0192681713400653	0.062771846295394	0.049302968990609	-0.131379329263901	0.10079160121929	0.157669130568284	0.306852386988651	0.269204953302383	0.27555379435696	0.129623195138473	0.0654294312919408	0.228905632840451	-0.00595759833309579	0.123857657853576	0.050292070897312	0.122417176450295	0.307036239979466	0.00648420597315678	-0.0157633087376993	-0.319952879368053	0.0830784131782918	-0.0619399753438362	-0.190120020995356	0.182557980569995	0.0989151607389678	0.241158413601969	0.154507248786219	0.208922293700214	0.156646764717763	-0.0300738877877237	0.0440236702635838	-0.386646626412586	0.0565161529045368	-0.133332043018185	0.0986928428645693	-0.0633297886026553	0.172432083112327	0.100188653905344	-0.0268381548328441	-0.191401209516632	0.0760421226539189	-0.0577618818589493	0.524327996457542	0.123816734842066	0.270273325341749	0.528599071262933	0.19573337210514	0.11427320052472	-0.0712255060991019	0.152341303654317	0.117030633661606
CD96	0.59290485329792	0.658043756875273	0.515143337789746	0.784680038907539	0.488705086764647	0.374878748495512	0.294207126059637	0.242978721833202	0.347336467028122	0.154306538903686	-0.0904943421550622	0.734705057551109	0.282065993295497	0.495150245348189	0.436480405099172	0.776320612031799	0.463564662531685	0.451343942912403	0.504042776035225	0.133115618526964	NA	-0.208475534658608	0.43424829391909	0.0434757969818261	0.335872323463869	0.76307070843784	0.349503237906095	0.711080312986316	0.361729274574295	0.749992337772108	0.338948582190025	0.488098490493806	0.529039321770167	0.715729720319685	0.0828786349203028	0.0323882258803977	0.401500893288628	0.387863212561778	0.374100575570625	0.584792871217174	0.308317101134303	0.347616302216119	0.534094997103342	0.0647348582577904	0.34640614175646	0.578113390314811	0.217191858138964	0.607635204667976	0.12557300142406	0.355314079278313	0.148055575992491	0.0866558125552182	0.0712710045737387	0.177326622552668	0.513756022601462	0.0826880899244948	-0.268430414209299	0.783516874117989	0.525035193008909	0.464845028097847	-0.13977289867657	0.682027274138734	0.518142723481027	0.471851215086716	-0.0801285947172893	0.487945434293957	0.241836739864463	0.822523896434867	0.0458374411036748	-0.12438366824304	0.749121586459223	0.708709214985118
PVRL2	-0.105158646919902	-0.0372268145766807	0.0365302016258273	-0.16996813292961	-0.119789691940374	0.0421313284520519	-0.0189836881721951	-0.196396103275409	-0.260424689039435	-0.311067374560382	0.475717169369888	-0.379972809342967	0.1069828203361	-0.2492429955148	-0.0676802095900679	-0.113472861805012	-0.198221019959691	-0.16100987523689	-0.14258089993475	-0.0192681713400653	-0.208475534658608	NA	-0.331681231349732	0.0287985190667822	0.0021499884339359	-0.0871299064068693	-0.25269495425503	-0.166974041267781	-0.16324342652643	-0.126455442325323	-0.237429632282003	-0.101872994408458	-0.232170773215985	-0.181528899646671	-0.0206033163663245	-0.0607144507626268	-0.349494399770192	-0.195188057746968	-0.0911502650003091	-0.0284081364047935	-0.0860823743345019	-0.100730184508216	-0.0914622903778352	0.246669078367003	0.0361842101441265	-0.122306537934361	0.0505272252078079	-0.248510097233698	-0.243562550895325	-0.0556952844957124	-0.27602490508848	0.0216831626294449	0.0635526131846263	-0.251785313833301	-0.247565595862172	-0.0606568093285415	0.308599934843263	-0.198863492796783	-0.141604084905567	0.000940773555738838	0.00328324636199074	-0.0520003693157467	-0.209209496885046	-0.296647923203773	-0.0403251422106724	-0.0966652111867952	0.0890973619266004	-0.217757535213427	-0.0328153944808183	-0.0798371896254131	-0.170071866536098	-0.308995073076328
C10orf54	0.222964109299911	0.374303313586692	0.264685235398942	0.368118751403942	0.296281537426887	0.177639549960927	0.29932559560736	0.463369696802747	0.676644516621154	0.199503209804337	-0.353594390074712	0.598827994104598	0.248938223471999	0.488549226411044	0.26270460383428	0.28320760596785	0.6145470603392	0.316651428477067	0.310512013659661	0.062771846295394	0.43424829391909	-0.331681231349732	NA	0.0325246655138975	0.198579865846151	0.375078991445746	0.288560159534285	0.345814159997754	0.456605582888791	0.342076350605397	0.449380376554379	0.218074273890202	0.507009509642315	0.30281404005415	0.227825204781586	0.157403532049527	0.526499443043875	0.323882941988497	0.495312671783618	0.254280380588641	0.1835585067317	0.365833425480622	0.167842967336755	-0.115874323447539	0.373358348375848	0.317280287964935	0.197461475836151	0.491063487887895	0.207704002631962	0.156126253524843	0.357344098707203	-0.0295735104601299	0.118867891386315	0.259468305484691	0.483017141918991	0.155211778521703	-0.17697294132448	0.503809909548726	0.501610068320312	0.44862288401293	0.00809921429553102	0.326109900328234	0.349276595475604	0.356331572111475	0.0982433081989715	0.367668376174414	0.103672486271343	0.439303057776998	0.0867806397196657	-0.194353196934108	0.391398918400929	0.583222190724948
MICA	0.0934953710212366	0.122786774870647	0.12424600054008	-0.0231340588965296	0.0373190749235593	0.188256693964182	0.0185086797923429	0.108053082599653	0.0993149234792696	-0.0243208330791457	-0.00596066132896243	0.0809018238291441	0.061863027167767	0.046128764742999	0.106821177632602	0.0609434148378585	-0.00561657151246597	0.0914429441019895	0.113985352234674	0.049302968990609	0.0434757969818261	0.0287985190667822	0.0325246655138975	NA	0.175008178491884	0.102251156898545	0.0887359769253844	0.00720444703650964	0.232831819168071	0.0506950055361508	0.213159504651618	0.0546720165707267	-0.00735306089473894	0.0396405544108323	-0.0240090943243741	0.0841468315224757	-0.00197558370114484	0.0649195448531325	0.0804687465166374	0.0128955952876922	-0.0426806340641343	0.243506368672977	0.0104413403989907	0.0848862777524674	0.215185205762197	0.110224622831512	0.122790817822345	-0.0379714037681643	-0.0235948076447386	-0.0111242170027703	0.209971540566691	0.0804477796539162	0.112745046449117	0.202464371044988	0.0167194067716163	-0.00326940716002288	0.0573750076380631	0.079748446285134	0.0794820175634049	0.0132264256165009	0.129915653018842	0.0643126778474878	0.0240100519557441	0.0320820008164066	0.117738607862747	0.0769448949736427	0.00027701340755507	0.0659658105389274	0.0520092115974435	0.0213551216430234	0.1576846844889	0.129648513167558
MICB	0.292429240643127	0.272586687296372	0.289042073991239	0.313988097904816	0.151731803130098	0.150424458588935	0.218255909187598	0.161111629501886	0.20602749601586	0.0214877973247662	-0.0207464429286874	0.255000137395097	0.218799667104445	0.217229578290314	0.0960845091511227	0.310906561334589	0.238095399450734	0.145226987129133	0.183407248139234	-0.131379329263901	0.335872323463869	0.0021499884339359	0.198579865846151	0.175008178491884	NA	0.249518762221668	0.217522183103548	0.263318367186109	0.120992118956426	0.189793143330927	0.151338670614034	0.38623198321391	0.306440499695726	0.364474663859093	-0.0363508563763823	0.0624388276371262	0.202020672695088	0.218596632122173	0.266177236668762	0.219097440581155	0.205710892083095	0.0643781241146507	0.223563184381084	0.16430859622895	0.0939326524223295	0.321462937305498	0.0554801799291463	0.381288919832268	-0.0268254913735327	0.270008987588109	0.102578576582418	0.0303607173596108	0.0890591945825645	-0.0554123770265903	0.199011949732308	0.00228657657632504	-0.019348454275577	0.320891389686572	0.2458211479115	0.282269253829251	-0.0253961507602612	0.316506293962707	0.299007355149478	0.110314803930229	-0.0186706232392832	0.197146607275148	0.0484699308299252	0.267867390674692	-0.010801723281378	0.00552547906296472	0.234581908235579	0.269090264498561
CD27	0.688665200655191	0.774879320376376	0.644822866930393	0.722677363356971	0.326152768777617	0.444925003577629	0.290813223258217	0.215342138545666	0.264522117512924	0.0246268344138158	-0.0453314227953733	0.608494634671548	0.310611237076113	0.376538630800293	0.471518144737666	0.81798568712237	0.369921878384496	0.378359365979515	0.422880848240102	0.10079160121929	0.76307070843784	-0.0871299064068693	0.375078991445746	0.102251156898545	0.249518762221668	NA	0.315385570184359	0.665932321061726	0.40198790496805	0.693480228887704	0.395558367991629	0.447288469806755	0.416863848899485	0.734147993070438	0.10934665114462	0.118733166455488	0.252296532157186	0.365559442929312	0.307108926059464	0.734541265900747	0.37328112662397	0.383053604492123	0.713587653788043	0.221030208448869	0.48332826328937	0.624711347305242	0.219160647026799	0.440502347752844	0.123950645728107	0.248009497322514	0.206276070252596	0.114524827002151	0.180384671825809	0.220640702650077	0.462883960093719	0.0758159451135446	-0.142165630586691	0.731581324386948	0.477253995950846	0.502930908125519	-0.0434849544940107	0.755248327180904	0.501332352599275	0.334653705808686	-0.040769435182743	0.403375623461319	0.208787342668596	0.726052768576986	0.00496517175118056	-0.0689603891320048	0.738764049015989	0.661452772753726
CD274	0.452447041116036	0.361734862690506	0.385982664199256	0.28958216344002	0.0293456686770841	0.37633392206053	0.357447887135932	0.141398727751657	0.281245242226304	0.245499445305736	-0.127958015384865	0.35431734157733	0.0251762433919964	0.430708449245689	0.190049155721597	0.475772614339974	0.34458160190315	0.22048828426313	0.246883073411716	0.157669130568284	0.349503237906095	-0.25269495425503	0.288560159534285	0.0887359769253844	0.217522183103548	0.315385570184359	NA	0.366988400124936	0.406779529063431	0.200126726690047	0.260918584648098	0.55269374652672	0.485386264623581	0.496183619532331	0.0675222564481577	0.334805574427885	0.353337437638386	0.69918231836274	0.177593622039258	0.145003929799503	0.108531603890682	0.0622488513861262	0.209482221204178	0.0815755312988274	0.124209269358514	0.528758632499742	0.0540555364307739	0.411598216815054	0.375002795981948	0.154187433864756	0.228539942029977	0.200278822030195	-0.0456554236539855	0.0434347302646963	0.198215544297924	0.0652642765862402	-0.00846484983066924	0.338400933003175	0.289247963567443	0.234896247320809	0.0392503566301045	0.349015188893654	0.544890512956665	0.148808392957053	0.144064205281848	0.104149687045396	0.0481366901629544	0.321872805083517	0.15697344885614	0.0925372625708278	0.409510315666066	0.463962426465409
CD28	0.541816639324033	0.495288697195355	0.387639574221789	0.701529030383462	0.353702771108457	0.219873837812423	0.415898903817838	0.194612466464118	0.305825824150327	0.29325610629401	-0.0606593038633129	0.555349012337654	0.141014911235097	0.563454502535473	0.480356927320319	0.679615304784588	0.558320451731759	0.337350212932278	0.350437750223466	0.306852386988651	0.711080312986316	-0.166974041267781	0.345814159997754	0.00720444703650964	0.263318367186109	0.665932321061726	0.366988400124936	NA	0.348023694939028	0.688948875381985	0.279535893813622	0.592388404341795	0.606762424267402	0.673175309261409	0.128645122591331	0.111720232822955	0.380650691590987	0.4886176680072	0.317118069072554	0.509519235901185	0.223093575004605	0.212657850057982	0.472960297224781	0.0229967632573602	0.312710079491315	0.556705252313179	0.198488776995298	0.611638119009344	0.252520621014737	0.434439587391419	0.096006536192391	0.132917968167582	-0.0913249988354606	0.0866083400864874	0.285050024054509	0.0777444268802099	-0.171186199882122	0.72803373587679	0.429237568666199	0.43519082302929	-0.185384051178173	0.614580497897694	0.551792312922567	0.524021216892833	-0.020370443236466	0.476990858785201	0.427018236049162	0.644962004930843	0.0223420319614238	-0.0815479414973537	0.584139559105718	0.529714991497651
